i= 72 | event=NONE | counter=1 | f_prime=9098868489.00 | f_star=2938683440.67 | 5828712487.506->5828712487.506 | f_range=[2938683440.67, 55586402037.67]
i= 73 | event=NONE | counter=2 | f_prime=16269378842.67 | f_star=2938683440.67 | 5828712487.506->5828712487.506 | f_range=[2938683440.67, 55586402037.67]
i= 74 | event=NONE | counter=3 | f_prime=6335803070.67 | f_star=2938683440.67 | 5828712487.506->5828712487.506 | f_range=[2938683440.67, 55586402037.67]
i= 75 | event=STAG | counter=0 | f_prime=13234608585.00 | f_star=2938683440.67 | 5828712487.506->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 76 | event=NONE | counter=1 | f_prime=15121528115.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 77 | event=NONE | counter=2 | f_prime=15081276370.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 78 | event=NONE | counter=3 | f_prime=4697167490.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 79 | event=STAG | counter=0 | f_prime=10977805234.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 80 | event=NONE | counter=1 | f_prime=32999379383.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 81 | event=NONE | counter=2 | f_prime=12317746120.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 82 | event=NONE | counter=3 | f_prime=11267992098.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 83 | event=STAG | counter=0 | f_prime=14117598828.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 84 | event=S_STAG | counter=0 | f_prime=13640743017.67 | f_star=2938683440.67 | 7019695812.933->6900597480.391 | f_range=[2938683440.67, 55586402037.67]
i= 85 | event=NONE | counter=1 | f_prime=11490913061.67 | f_star=2938683440.67 | 6900597480.391->6900597480.391 | f_range=[2938683440.67, 55586402037.67]
i= 86 | event=NONE | counter=2 | f_prime=12305570411.00 | f_star=2938683440.67 | 6900597480.391->6900597480.391 | f_range=[2938683440.67, 55586402037.67]
i= 87 | event=NONE | counter=3 | f_prime=41993143542.67 | f_star=2938683440.67 | 6900597480.391->6900597480.391 | f_range=[2938683440.67, 55586402037.67]
i= 88 | event=STAG | counter=0 | f_prime=28425357524.67 | f_star=2938683440.67 | 6900597480.391->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 89 | event=NONE | counter=1 | f_prime=15229116669.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 90 | event=NONE | counter=2 | f_prime=7743553745.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 91 | event=NONE | counter=3 | f_prime=15310047400.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 92 | event=STAG | counter=0 | f_prime=13704726507.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 93 | event=NONE | counter=1 | f_prime=20603101409.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 94 | event=NONE | counter=2 | f_prime=7317341837.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 95 | event=NONE | counter=3 | f_prime=36350199409.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 96 | event=STAG | counter=0 | f_prime=21088728161.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 97 | event=S_STAG | counter=0 | f_prime=8291814289.00 | f_star=2938683440.67 | 7019695812.933->7007785979.679 | f_range=[2938683440.67, 55586402037.67]
i= 98 | event=NONE | counter=1 | f_prime=13033727659.67 | f_star=2938683440.67 | 7007785979.679->7007785979.679 | f_range=[2938683440.67, 55586402037.67]
i= 99 | event=NONE | counter=2 | f_prime=9569404789.67 | f_star=2938683440.67 | 7007785979.679->7007785979.679 | f_range=[2938683440.67, 55586402037.67]
i=100 | event=NONE | counter=3 | f_prime=7970732529.67 | f_star=2938683440.67 | 7007785979.679->7007785979.679 | f_range=[2938683440.67, 55586402037.67]
i=101 | event=STAG | counter=0 | f_prime=17717185797.67 | f_star=2938683440.67 | 7007785979.679->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=102 | event=NONE | counter=1 | f_prime=22545872222.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=103 | event=NONE | counter=2 | f_prime=12075296061.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
